profiles: 42  frames: 141  total time units: 1247317.9
   0.00%             0.0  System.Private.CoreLib.il!System.Threading.Thread.Sleep(int32)
   0.00%             0.0  System.Threading.il!System.Threading.CountdownEvent.Signal()
   0.00%             0.0  System.Private.CoreLib.il!System.Threading.Monitor.Enter_Slowpath(class System.Object)
   0.00%             0.0  DotLLM.Cpu!DotLLM.Cpu.Kernels.MatMul.ComputeRowsWorker(int,int32,int32)
   0.00%             0.0  DotLLM.Cpu!DotLLM.Cpu.Kernels.MatMul.VecDotQ8_0Avx512_4Rows(unsigned int8*,unsigned int8*,unsigned int8*,unsigned int8*,unsigned int8*,int32,float32*)
   0.00%             0.0  System.Private.CoreLib.il!System.Threading.Monitor.Exit_Slowpath(value class LeaveHelperAction,class System.Object)
   0.00%             0.0  Thread (25228)
   0.00%             0.0  Thread (25612)
   0.00%             0.0  Thread (34252)
   0.00%             0.0  Thread (13132)
   0.00%             0.0  Thread (24888)
   0.00%             0.0  Thread (26352)
   0.00%             0.0  DotLLM.Cpu!DotLLM.Cpu.Kernels.MatMul.ComputeRowsQ8_0R4Worker(int,int32,int32)
   0.00%             0.0  Thread (36240)
   0.00%             0.0  Thread (36768)

=== top 40 by inclusive (dotLLM only) (filter=DotLLM) ===
  100.00%       1247317.9  Process64 Program (25240) Args:  samples/DotLLM.Sample.Server/bin/Release/net10.0/DotLLM.Sample.Server.dll C:/Users/james/.dotllm/test-cache/QuantFactory/SmolLM-135M-GGUF/SmolLM-135M.Q8_0.gguf --port 8000
  74.66%        931208.1  DotLLM.Cpu!DotLLM.Cpu.Threading.ComputeThreadPool.WorkerLoop(class System.Object)
   2.41%         30038.9  DotLLM.Sample.Server!Program.<Main>$(class System.String[])
   1.51%         18839.6  DotLLM.Server!DotLLM.Server.Endpoints.ChatCompletionEndpoint.HandleAsync(class DotLLM.Server.Models.ChatCompletionRequest,class DotLLM.Server.ServerState,class Microsoft.AspNetCore.Http.HttpContext)
   1.51%         18839.6  DotLLM.Server!DotLLM.Server.Endpoints.ChatCompletionEndpoint+<HandleAsync>d__2.MoveNext()
   1.51%         18839.6  DotLLM.Server!DotLLM.Server.Endpoints.ChatCompletionEndpoint.HandleNonStreamingAsync(class DotLLM.Server.Models.ChatCompletionRequest,class DotLLM.Engine.TextGenerator,class DotLLM.Server.ServerState,class Microsoft.AspNetCore.Http.HttpContext,class System.String,class DotLLM.Core.Configuration.InferenceOptions,class System.String,class System.String,class DotLLM.Tokenizers.ToolDefinition[],value class System.Threading.CancellationToken)
   1.51%         18839.6  DotLLM.Server!DotLLM.Server.Endpoints.ChatCompletionEndpoint+<HandleNonStreamingAsync>d__3.MoveNext()
   1.51%         18839.6  DotLLM.Server!DotLLM.Server.ServerState.ExecuteAsync(class System.Func`1<class System.Threading.Tasks.Task>,value class System.Threading.CancellationToken)
   1.51%         18839.6  DotLLM.Server!DotLLM.Server.ServerState+<ExecuteAsync>d__73.MoveNext()
   1.51%         18839.6  DotLLM.Server!DotLLM.Server.Endpoints.ChatCompletionEndpoint+<>c__DisplayClass3_0.<HandleNonStreamingAsync>b__0()
   1.51%         18839.6  DotLLM.Server!DotLLM.Server.Endpoints.ChatCompletionEndpoint+<>c__DisplayClass3_0+<<HandleNonStreamingAsync>b__0>d.MoveNext()
   1.51%         18839.6  DotLLM.Engine!DotLLM.Engine.TextGenerator.Generate(class System.String,class DotLLM.Core.Configuration.InferenceOptions,class System.Action`1<int32>)
   1.51%         18836.1  DotLLM.Models!DotLLM.Models.Architectures.TransformerModel.Forward(value class System.ReadOnlySpan`1<int32>,value class System.ReadOnlySpan`1<int32>,int32,class DotLLM.Core.Attention.IKvCache)
   0.63%          7801.8  DotLLM.Models!DotLLM.Models.Architectures.TransformerModel.GemmInterleaved(int,value class DotLLM.Core.Configuration.QuantizationType,float32*,float32*,int32,int32,int32,unsigned int8*,value class RepackedWeight&)
   0.34%          4257.7  DotLLM.Cpu!DotLLM.Cpu.Kernels.MatMul.GemmQ8_0(unsigned int8*,float32*,float32*,int32,int32,int32,class DotLLM.Cpu.Threading.ComputeThreadPool,unsigned int8*)
   0.33%          4065.7  DotLLM.Cpu!DotLLM.Cpu.Kernels.MatMul.ComputeRows(unsigned int8*,unsigned int8*,float32*,int32,int32,class DotLLM.Cpu.Threading.ComputeThreadPool)
   0.29%          3660.9  DotLLM.Models!DotLLM.Models.Architectures.TransformerModel.FusedGateUpDecode(value class DotLLM.Models.Architectures.TransformerLayerWeights&,float32*,unsigned int8*,float32*,float32*)
   0.29%          3657.9  DotLLM.Models!DotLLM.Models.Architectures.TransformerModel.FusedQkvDecode(value class DotLLM.Models.Architectures.TransformerLayerWeights&,float32*,unsigned int8*,float32*,float32*,float32*)
   0.29%          3657.9  DotLLM.Cpu!DotLLM.Cpu.Threading.ComputeThreadPool.Dispatch(int,fnptr void(int,int32,int32))
   0.26%          3297.4  DotLLM.Cpu!DotLLM.Cpu.Kernels.Attention.Execute(float32*,float32*,float32*,float32*,int32,int32,int32,int32,int32,int32,class DotLLM.Cpu.Threading.ComputeThreadPool,value class System.Nullable`1<int32>)
   0.26%          3297.4  DotLLM.Cpu!DotLLM.Cpu.Kernels.Attention.Execute(float32*,float32*,float32*,float32*,int32,int32,int32,int32,int32,int32,float32,class DotLLM.Cpu.Threading.ComputeThreadPool,value class System.Nullable`1<int32>)
   0.03%           392.9  DotLLM.Cpu!DotLLM.Cpu.Kernels.MatMul.VecDotQ8_0Avx512_4Rows(unsigned int8*,unsigned int8*,unsigned int8*,unsigned int8*,unsigned int8*,int32,float32*)
   0.03%           392.5  DotLLM.Cpu!DotLLM.Cpu.Kernels.MatMul.ComputeRowsWorker(int,int32,int32)
   0.02%           237.2  DotLLM.Engine!DotLLM.Engine.KvCache.PagedKvCache.GetKeysRef(int32)
   0.02%           192.0  DotLLM.Cpu!DotLLM.Cpu.Kernels.MatMul.GemvQ8_0(unsigned int8*,float32*,float32*,int32,int32,class DotLLM.Cpu.Threading.ComputeThreadPool)
   0.01%           103.7  DotLLM.Engine!DotLLM.Engine.KvCache.PagedKvCache.GetValuesRef(int32)
   0.00%             4.2  DotLLM.Cpu!DotLLM.Cpu.Kernels.MatMul.ComputeRowsQ8_0R4Worker(int,int32,int32)
   0.00%             2.3  DotLLM.Cpu!DotLLM.Cpu.Kernels.MatMul.FusedDecode2Worker(int,int32,int32)
   0.00%             2.3  DotLLM.Cpu!DotLLM.Cpu.Kernels.MatMul.ComputeRows(unsigned int8*,unsigned int8*,float32*,int32,int32)
